,child,session,trial_num,trial_type,stim_type,confidence,iCatcher_on(s),iCatcher_off(s),parentEnded
80,GScUXA,,3,fam,barrier-around,0.0,0.0,5.057,False
81,GScUXA,,4,testA,barrier-around,0.0,0.0,5.06,False
82,GScUXA,,5,fam,pit,0.0,0.0,5.052,False
83,GScUXA,,6,testA,pit,0.0,0.0,5.054,False
84,GScUXA,,7,fam,barrier-jump,0.0,0.0,5.055,False
85,GScUXA,,8,testB,barrier-jump,0.0,0.0,5.051,False
86,GScUXA,,9,fam,pit-bridge,0.0,0.0,5.059,False
87,GScUXA,,10,testB,pit-bridge,0.0,0.0,5.061,False
88,GScUXA,,11,fam,barrier-around,0.0,0.0,5.06,False
89,GScUXA,,12,testA,barrier-around,0.0,0.0,5.055,False
90,TMT2Uc,,1,fam,pit-bridge,0.9364671593771104,28.224,0.905,False
91,TMT2Uc,,2,testA,pit-bridge,0.874808251262746,38.166,5.587,False
92,TMT2Uc,,3,fam,barrier-around,0.8645360823872128,32.492,4.329,False
93,TMT2Uc,,4,testB,barrier-around,0.8662288987003024,22.989,6.711,False
94,TMT2Uc,,5,fam,pit,0.8531567135962045,27.295,3.068,False
95,TMT2Uc,,6,testB,pit,0.8105256832588125,22.185,10.459,False
96,TMT2Uc,,7,fam,barrier-jump,0.8602447224897926,12.588,3.934,False
97,TMT2Uc,,8,testA,barrier-jump,0.9100922486345684,36.738,6.465,False
98,dHPNP6,,1,fam,barrier-around,0.9142577370102896,37.096,0.3,False
99,dHPNP6,,2,testA,barrier-around,0.8518056863434262,42.793,0.815,False
100,dHPNP6,,3,fam,barrier-jump,0.882115685881065,29.666,2.065,False
101,dHPNP6,,4,testB,barrier-jump,0.8788352005601281,3.947,2.002,False
102,dHPNP6,,5,testB,barrier-jump-repeat-1,0.9401183944994588,2.204,2.928,False
103,dHPNP6,,6,fam,pit-bridge,0.8988976730663973,12.913,3.389,False
104,dHPNP6,,7,testB,pit-bridge,0.924931192460813,20.646,5.248,False
105,dHPNP6,,8,fam,pit,0.939442657929146,27.305,1.887,False
106,dHPNP6,,9,testA,pit,0.9141430670350064,12.259,3.126,False
107,dHPNP6,,10,fam,barrier-around,0.9051758547399706,31.265,4.525,False
108,dHPNP6,,11,testA,barrier-around,0.8302274621012857,29.405,2.032,False
109,dHPNP6,,12,fam,barrier-jump,0.891389550144139,15.169,2.03,False
110,dHPNP6,,13,testB,barrier-jump,0.8921806557557067,5.518,2.058,False
111,HEc5NA,,1,fam,pit-bridge,0.0,0.0,5.043,False
112,HEc5NA,,2,testB,pit-bridge,0.0,0.0,5.043,False
113,HEc5NA,,3,fam,barrier-around,0.0,0.0,5.043,False
114,HEc5NA,,4,testA,barrier-around,0.0,0.0,5.044,False
115,HEc5NA,,5,fam,pit,0.0,0.0,5.042,False
116,HEc5NA,,6,testA,pit,0.0,0.0,5.043,False
117,HEc5NA,,7,fam,barrier-jump,0.0,0.0,5.043,False
118,HEc5NA,,8,testB,barrier-jump,0.0,0.0,5.043,False
119,HEc5NA,,9,fam,pit-bridge,0.0,0.0,5.043,False
120,HEc5NA,,10,testB,pit-bridge,0.0,0.0,5.043,False
121,HEc5NA,,11,fam,barrier-around,0.0,0.0,5.043,False
122,HEc5NA,,12,testA,barrier-around,0.0,0.0,5.043,False
123,WTG3VQ,,1,fam,barrier-around,0.9372083595096744,29.712,5.088,False
