,child,session,trial_num,trial_type,stim_type,confidence,iCatcher_on(s),iCatcher_off(s),parentEnded
247,BEV5ZY,,6.0,fam,barrier-jump,0.9545534737290644,4.477,2.004,True
248,BEV5ZY,,7.0,fam,barrier-jump,0.7751489304062119,4.273,2.003,True
249,BEV5ZY,,8.0,fam,barrier-jump,0.7619157691902303,6.207,2.003,True
250,BEV5ZY,,9.0,testA,barrier-jump,0.992230321963628,1.966,3.002,True
251,BEV5ZY,,10.0,testB,barrier-jump,0.9321228864774184,13.078,4.026,True
252,BEV5ZY,,11.0,testB,barrier-jump,0.8534978100683837,7.515,2.004,True
253,BEV5ZY,,12.0,testA,barrier-jump,0.8781007596703826,6.114,2.839,True
254,HZ53AC,,1.0,fam,barrier-around,0.8060773642797434,30.877,5.832,False
255,HZ53AC,,2.0,fam,barrier-around,0.7851625505642326,43.457,0.815,False
256,HZ53AC,,3.0,fam,barrier-around,0.8520337126199031,38.127,3.786,False
257,HZ53AC,,4.0,fam,barrier-around,0.8665517733757755,3.858,3.611,False
258,HZ53AC,,5.0,fam,barrier-around,0.8982359114147368,5.659,2.026,False
259,HZ53AC,,6.0,fam,barrier-around,0.8742421117339114,9.558,6.808,True
260,HZ53AC,,7.0,fam,barrier-around,0.955447554588318,2.36,2.541,True
261,HZ53AC,,8.0,fam,barrier-around,0.8984172691901525,5.095,2.427,True
262,HZ53AC,,9.0,testA,barrier-around,0.8407850405352015,4.331,2.538,False
263,HZ53AC,,10.0,testB,barrier-around,0.8396816303332647,1.432,5.818,True
264,BHZZPE,,1.0,fam,pit,0.9648770650651822,45.756,0.0,False
265,BHZZPE,,2.0,fam,pit,0.96499298589871,18.813,2.766,False
266,BHZZPE,,3.0,fam,pit,0.949646915651777,40.088,3.617,False
267,BHZZPE,,4.0,fam,pit,0.9196732655280184,23.838,3.439,False
268,BHZZPE,,5.0,fam,pit,0.91878691703702,5.645,2.045,False
269,BHZZPE,,6.0,fam,pit,0.9163499435061188,19.675,2.018,True
270,BHZZPE,,7.0,fam,pit,0.8708643486408086,9.054,2.048,False
271,BHZZPE,,8.0,fam,pit,0.9377996944408324,44.876,0.178,False
272,BHZZPE,,9.0,testA,pit,0.7842366304681745,15.373,2.205,True
273,BHZZPE,,10.0,testB,pit,0.8055651876433142,7.776,2.015,True
274,BHZZPE,,11.0,testB,pit,0.7524250043564088,25.647,5.569,True
275,BHZZPE,,12.0,testA,pit,0.7706230934144873,11.199,8.246,True
276,d5C2YU,,1.0,fam,pit,0.9295971943241246,20.372,3.907,False
277,d5C2YU,,2.0,fam,pit,0.8931035541675307,18.574,7.603,False
278,d5C2YU,,3.0,fam,pit,0.9166195073906256,1.808,3.51,True
279,d5C2YU,,4.0,fam,pit,0.9026153033429926,1.03,3.655,True
280,d5C2YU,,5.0,fam,pit,0.9165839168221452,4.421,2.082,True
281,d5C2YU,,6.0,fam,pit,0.8889046911229479,1.587,3.552,True
282,d5C2YU,,7.0,fam,pit,0.9050360013072084,3.038,2.081,True
283,d5C2YU,,8.0,fam,pit,0.835641512211333,3.781,1.772,True
284,d5C2YU,,9.0,testB,pit,0.8812892181031844,6.263,3.966,True
285,d5C2YU,,10.0,testA,pit,0.9067003628611564,19.61,5.364,True
286,cZM66C,,1.0,fam,barrier-around,0.917417944208976,39.987,2.363,False
287,cZM66C,,2.0,fam,barrier-around,0.9637008022193482,44.254,0.368,False
288,cZM66C,,3.0,fam,barrier-around,0.9625874134974602,35.73,1.007,True
289,cZM66C,,4.0,fam,barrier-around,0.9287456181403752,35.979,0.257,True
290,cZM66C,,5.0,fam,barrier-around,0.8945210588065696,33.611,1.129,True
291,cZM66C,,6.0,fam,barrier-around,0.9176848744168694,9.745,1.375,True
292,cZM66C,,7.0,fam,barrier-around,0.9159540439596272,11.991,0.88,True
293,cZM66C,,8.0,testA,barrier-around,0.7796852687994639,9.503,1.885,True
294,cZM66C,,9.0,testB,barrier-around,0.8758979068791612,21.385,3.378,True
295,cZM66C,,10.0,testB,barrier-around,0.9089136643069132,8.12,1.875,True
296,cZM66C,,11.0,testA,barrier-around,0.8084092764627366,6.701,1.906,True
297,H4AYHY,,1.0,fam,barrier-jump,0.6291638609741916,2.553,3.007,False
298,H4AYHY,,2.0,fam,barrier-jump,0.6803939740321928,42.436,0.659,False
299,H4AYHY,,3.0,fam,barrier-jump,0.7517308259943881,38.996,2.006,False
300,H4AYHY,,4.0,fam,barrier-jump,0.7767101841936543,12.652,3.967,True
