,child,session,trial_num,trial_type,stim_type,confidence,iCatcher_on(s),iCatcher_off(s),t_spent_off_at_trial_end,parentEnded
112,PQ3UB2,,9.0,testA,pit,0.0,14.038,5.242,3.585,True
113,7VNC4V,,1.0,fam,pit,0.8678801738766185,41.187,3.052,2.927,False
114,7VNC4V,,2.0,fam,pit,0.7856760849698331,38.255,4.508,0.941,False
115,7VNC4V,,3.0,fam,pit,0.9023518891639362,7.065,4.197,3.674,True
116,7VNC4V,,4.0,fam,pit,0.8179287430312898,23.172,17.749,3.195,False
117,7VNC4V,,5.0,fam,pit,0.8781630707344985,25.886,12.717,2.318,True
118,7VNC4V,,6.0,fam,pit,0.8272265661650031,16.401,21.158,2.733,True
119,7VNC4V,,7.0,fam,pit,0.8760134722505297,26.132,15.483,2.935,True
120,7VNC4V,,8.0,fam,pit,0.8416312813056931,33.076,4.959,1.272,True
121,7VNC4V,,9.0,testB,pit,0.7177478408683902,2.844,11.137,4.003,True
122,7VNC4V,,10.0,testA,pit,0.8251574760259583,11.084,6.675,1.77,True
123,7VNC4V,,11.0,testA,pit,0.9563344427280956,4.756,8.069,4.032,True
124,7VNC4V,,12.0,testB,pit,0.7925918509905365,2.627,5.412,3.61,True
125,Y34LC3,,1.0,fam,barrier-around,0.9477513773279302,39.932,4.847,0.0,False
126,Y34LC3,,2.0,fam,barrier-around,0.9429986352438988,44.194,0.735,0.0,False
127,Y34LC3,,3.0,fam,barrier-around,0.9407601644423106,42.421,2.267,0.0,False
128,Y34LC3,,4.0,fam,barrier-around,0.9657838379964232,10.735,2.463,2.528,True
129,Y34LC3,,5.0,fam,barrier-around,0.9639358678470652,9.408,3.6,3.777,True
130,Y34LC3,,6.0,fam,barrier-around,0.9228803125804552,41.104,3.277,0.0,False
131,Y34LC3,,7.0,fam,barrier-around,0.9324204112627316,40.717,3.887,0.0,False
132,Y34LC3,,8.0,fam,barrier-around,0.9178957041480412,33.343,4.764,3.163,True
133,Y34LC3,,9.0,testA,barrier-around,0.8283999956610921,15.292,5.95,3.888,True
134,Y34LC3,,10.0,testB,barrier-around,0.849306672334671,0.0,6.364,4.029,True
135,Y34LC3,,11.0,testB,barrier-around,0.788385476745092,4.0,6.641,2.801,True
136,Y34LC3,,12.0,testA,barrier-around,0.7502503268309494,4.275,4.66,3.729,True
137,Y34LC3,,13.0,testA,barrier-around,0.8858397462628895,8.832,4.909,3.727,True
138,Y34LC3,,14.0,testB,barrier-around,0.0,10.705,10.174,4.03,True
139,cVPd7F,,1.0,fam,barrier-around,0.8410787667113322,44.013,1.254,0.0,False
140,cVPd7F,,2.0,fam,barrier-around,0.8323155793454359,44.667,0.318,0.678,False
141,cVPd7F,,3.0,fam,barrier-around,0.7758837262490639,44.116,0.461,0.0,False
142,cVPd7F,,4.0,fam,barrier-around,0.8690231772693428,16.393,10.192,3.181,True
143,cVPd7F,,5.0,fam,barrier-around,0.7910277690144553,25.005,8.223,3.674,True
144,cVPd7F,,6.0,fam,barrier-around,0.9612138284013626,4.307,4.984,4.054,True
145,cVPd7F,,7.0,fam,barrier-around,0.7149524153495321,11.11,9.208,1.961,True
146,cVPd7F,,8.0,testA,barrier-around,0.8213216931176331,9.851,14.78,4.061,True
147,cVPd7F,,9.0,testB,barrier-around,0.8268065529947097,7.618,11.455,3.853,True
148,cVPd7F,,10.0,testB,barrier-around,0.8552856552931998,4.487,8.823,2.601,True
149,cVPd7F,,11.0,testA,barrier-around,0.7811830167969068,5.608,6.526,4.05,True
150,SdF62S,,1.0,fam,pit-bridge,0.886345319336441,17.61,23.203,2.48,False
